uid,ID,Results_of_analysis,Bird_species_FR,CD_nom,Bird_species_LAT,Bird_family_latin,Code_INSEE_municipality,Obs_date,Zone_of_enhanced_surveillance_ZRP,Name_ZRP,Nb_birds_lab_pools,X_Municipality_centroid_Lambert93,Y_Municipality_centroid_Lambert93
1647,32_20210410_A,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,32022,28/02/2021,No,NA,1,464111,6300213
1648,27_20170407_A,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,27188,23/02/2017,No,NA,1,561672,6911851
1649,40_20170303_A,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,40155,02/03/2017,No,NA,1,361920,6324079
1650,47_20170309_A,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,47130,09/03/2017,No,NA,1,482031,6370483
1651,79_20170120_B,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,79024,20/01/2017,No,NA,1,448997,6595079
1652,85_20170125_A,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,85012,25/01/2017,Yes,BAIE_DE_BOURGNEUF_ET_NOIRMOUTIER,1,312149,6652755
1653,34_20200526_A,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,34281,31/01/2020,No,NA,1,743081,6270269
1654,45_20201206_A,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,45179,23/11/2020,Yes,LA_SOLOGNE,1,602740,6739943
1655,44_20201206_C,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,44158,24/11/2020,Yes,ESTUAIRE_DE_LA_LOIRE,1,338266,6696915
1656,81_20201213_A,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,81060,07/12/2020,No,NA,1,633316,6329135
1657,39_20201213_A,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,39445,09/12/2020,No,NA,1,902727,6617634
